0,CoD Hex,CoD Binary,CoD Bits,Bluetooth Device Example,Confirmed
43,0x4a0100,010010100000000100000000,"22,19,17 | 8 | noneMajor Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits None: Uncategorized, code for device not assigned",UncategorizedUncategorized,"00:17:F2 – Apple Computer, Inc."
44,0x5a0100,010110100000000100000000,"22,20,19,17 | 8 | noneMajor Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits None: Uncategorized, code for device not assigned",UncategorizedNokia N900,00:BD:3A – Nokia Corporation
45,0x52020c,010100100000001000001100,"22,20,19,17 | 8 | 4,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,4: Palm sized PC/PDA",Palm sized PC/PDAPocket_PC,00:15:70 – Symbol Technologies Wholly owned Subsidiary of Motorola
46,0x6e010c,011011100000000100001100,"22,21,19,18,17 | 8 | 3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop",LaptopUnknown,"08:ED:B9 – Hon Hai Precision Ind. Co.,Ltd."
47,0x7a010c,011110100000000100001100,"22,21,20,19,17 | 8 | 3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop",LaptopLaptop,"00:1F:E1 – Hon Hai Precision Ind. Co., Ltd."
48,0x7e0104,011111100000000100000100,"22,21,20,19,18,17 | 8 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2: Desktop Workstation",Desktop WorkstationDesktop PC Advent Desktop PC,00:21:86 – USI 00:02:76 – Primax Electronics Ltd.
49,0x7e010c,011111100000000100001100,"22,21,20,19,18,17 | 8 | 3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop",LaptopHP Netbook,"00:22:43 – AzureWave Technologies, Inc."
50,0x920100,100100100000000100000000,"23,20,17 | 8 | noneMajor Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class none",UncategorizedMentor Ranger Ranger,00:0C:8E – Mentor Engineering Inc 00:0C:8E – Mentor Engineering Inc
51,0x9a0100,100110100000000100000000,"23,20,19,17 | 8 | noneMajor Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits None: Uncategorized, code for device not assigned",UncategorizedUncategorized R4778,00:09:DD – Mavin Technology Inc. 00:12:F5 – Imarda New Zealand Limited
52,0x9a0114,100110100000000100010100,"23,20,19,17 | 8 | 4,2Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,4: Palm sized PC/PDA",Palm sized PC/PDASamsung SGH-i907,00:23:39 – Samsung Electronics
53,0xd20110,110100100000000100010000,"23,22,20,17 | 8 | 4Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 4: Handheld PC/PDA (clam shell)",Handheld PC/PDACE500 Core Mobile Data Terminal CE500 Pro,00:24:23 – AzureWave Technologies (Shanghai) Inc. 00:24:23 – AzureWave Technologies (Shanghai) Inc.
54,0xff0104,111111110000000100000100,"23,22,21,20,19,18,17,16 | 8 | 2Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 17: Networking (LAN, Ad hoc, …) CoD Bit 16: Positioning (Location identification) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2: Desktop Workstation",Desktop WorkstationWindows Desktop Computer,"74:F0:6D – AzureWave Technologies, Inc."
55,0xff010c,111111110000000100001100,"23,22,21,20,19,18,17,16 | 8 | 3,2Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 17: Networking (LAN, Ad hoc, …) CoD Bit 16: Positioning (Location identification) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop",LaptopDell Intel Centrino,4C:EB:42 – Intel Corporate
1,0x000204,000000000000001000000100,"none | 9 | 2Major Service Class none Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularSamsung SGH-T259 Unknown Samsung,"38:16:D1 – Samsung Electronics Co.,Ltd 04:FE:31 – Samsung Electronics Co.,Ltd"
2,0x000208,000000000000001000001000,"none | 9 | 3Major Service Class None Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 3: Cordless",CordlessBluetooth Car Kit,"00:1C:12 – Motorola Mobility, Inc."
3,0x01020c,000000010000001000001100,"16 | 9 | 3,2Major Service Class CoD Bit 16: Positioning (Location identification) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2,3: Smart Phone",Smart PhoneiPhone,54:26:96 – Apple
4,0x080208,000010000000001000001000,"19 | 9 | 3Major Service Class CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 3: Cordless",CordlessKyocera KWC-M2000,00:1F:BD – Kyocera Wireless Corp.
5,0x100204,000100000000001000000100,"20 | 9 | 2Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellulariPod Sanyo Mirro Kyocera Juno SCP2700 Unknown Kyocera Cell Phone (Manda) LG LG600G Kyocera S2100 (KCI-S2100),"00:26:4A – Apple, Inc. 00:22:94 – Kyocera Corporation 00:22:94 – Kyocera Corporation 00:22:94 – Kyocera Corporation 00:1F:E3 – LG Electronics 00:22:94 – Kyocera Corporation"
6,0x100208,000100000000001000001000,"20 | 9 | 3Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 3: Cordless",CordlessUnknown Kyocera Cordless Phone Kyocera Wireless KWC-S1310 Cricket Kyocera Domino S1310 Kyocera KWC Cell Phone,00:1F:BD – Kyocera Wireless Corp. 00:1F:BD – Kyocera Wireless Corp. 00:1F:BD – Kyocera Wireless Corp. 00:1F:BD – Kyocera Wireless Corp.
7,0x180204,000110000000001000000100,"20,19 | 9 | 2Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularSamsung Blast Sanyo Innuendo Kyocera Rio E3100 LG900G SANYO Incognito Samsung SGH-T528G Motorola H700 Bluetooth Headset Kyocera Generic Rio E3100 (KWC-E3100),"00:21:D1 – Samsung Electronics Co.,Ltd 00:22:94 – Kyocera Corporation 00:1F:BD – Kyocera Wireless Corp. 5C:17:D3 Lge 00:22:94 – Kyocera Corporation 18:E2:C2 – Samsung Electronics 00:22:94 – Kyocera Corporation 00:1F:BD – Kyocera Wireless Corp."
8,0x200204,001000000000001000000100,"21 | 9 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularUnknown,00:12:D1 – Texas Instruments Inc
9,0x300204,001100000000001000000100,"23,21,20 | 9 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularNokiaE61i,00:17:E3 – Texas Instruments
10,0x400204,010000000000001000000100,"22 | 9 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularMotorola h700 Samsung SPH-W2700 Cisco Unified IP Phone 8945 (CP-8945) Cricket A200,"00:07:BA – UTStarcom, Inc. (was: Xebeo Communications) 00:12:47 – Samsung Electronics Co., Ltd. 70:81:05 – CISCO SYSTEMS, INC. 00:1F:82 – Cal-Comp Electronics & Communications Co., Ltd"
11,0x400210,010000000000001000010000,"22 | 9 | 4Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 4: Wired modem or voice gateway",Wired modem or voice gatewayUnknown Voice Gateway,"00:07:88 – Clipcomm, Inc."
12,0x402204,010000000010001000000100,"22,13 | 9 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularSamsung Trender,"6C:83:36 – Samsung Electronics Co.,Ltd"
13,0x4a0204,010010100000001000000100,"22,19,17 | 9 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularMotorola Cell Phone Monsta Phone,00:26:BA – Motorola Mobile Devices 00:1B:DA – UTStarcom Inc
14,0x500204,010100000000001000000100,"22,20 | 9 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularNokia 6600 Nokia 2600c-2b LG-P925 LG Rumor Jabra A210 Adapter LG CU400 Mercedes Benz UHI-SNXXXX Nokia 6600 l Samsung SGH-A197 Q2 Smart Bluetooth Headset,"00:0E:6D – Murata Manufacturing 00:21:FE – Nokia Danmark A/S 64:9C:8E – Texas Instruments 00:E0:91 – LG ELECTRONICS, INC. 98:F5:37 – zte corporation 00:19:A1 – LG INFORMATION & COMM. 00:1A:DB – Motorola Mobility, Inc. 00:0E:6D – Murata Manufacturing 94:63:D1 – Samsung Electronics Co.,Ltd 98:F5:37 – zte corporation"
15,0x50020c,010100000000001000001100,"22,20 | 9 | 3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2,3: Smart phone",Smart phoneNokia 3250,00:19:4F – Nokia Danmark A/S
16,0x520204,010100100000001000000100,"22,20,17 | 9 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularNokia 2720a-2b Samsung M400 Sanyo Vero SANYO SCP-3810 SANYO KATANA LX Samsung C520 SGH-D407 LG GS170 Nokia C3-00 Jabra BT125 SANYO SCP-2700gf SANYO KATANA II Sony Ericsson W300i Kyocera DuraPlus Samsung HM1000 Nokia 2330c-2b LG VP200 SANYO SCP-2700 Nokia 6230 SANYO SCP-2 Nokia 6103 Sony Ericsson Z520a LG 420G Pre-Paid Cell Phone for TracFone Genus Vero 1 Digital Portable Radio ATT Tech Cell Phone Kyocera Brio Nokia 610 SANYO SCP-2700g Nokia 6102i,"C0:38:F9 – Nokia Danmark A/S 14:89:FD – Samsung Electronics 00:22:94 – Kyocera Corporation 00:22:94 – Kyocera Corporation 00:00:A0 – SANYO Electric Co., Ltd. 00:0F:E4 – Pantech Co.,Ltd 00:16:DB – Samsung Electronics Co., Ltd. 5C:17:D3 – Lge A8:E0:18 – Nokia Corporation 00:1F:E3 – LG Electronics 00:22:94 – Kyocera Corporation 00:00:A0 – SANYO Electric Co., Ltd. 00:1A:75 – Sony Ericsson Mobile Communications 00:22:94 – Kyocera Corporation 00:22:94 – Kyocera Corporation C0:38:F9 – Nokia Danmark A/S 74:A7:22 – LG Electronics 00:14:60 – Kyocera Wireless Corp. 00:02:5B – Cambridge Silicon Radio 00:22:94 – Kyocera Corporation 00:1A:DC – Nokia Danmark A/S 00:16:B8 – Sony Ericsson Mobile Communications F0:1C:13 – LG Electronics 00:22:94 – Kyocera Corporation C0:38:F9 – Nokia Danmark A/S 00:22:94 – Kyocera Corporation 00:1A:DC – Nokia Danmark A/S 00:14:60 – Kyocera Wireless Corp. 00:18:C5 – Nokia Danmark A/S"
17,0x520208,010100100000001000001000,"none | 10 | 3Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 3: Cordless",CordlessSamsung SGH-D357,"00:15:B9 – Samsung Electronics Co., Ltd."
18,0x52020c,010100100000001000001100,"22,20,19 | 9 | 3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2,3: Smart Phone",Smart PhoneSGH-i607,"00:1B:98 – Samsung Electronics Co., Ltd."
19,0x522204,010100100010001000000100,"22,20,17,13 | 9 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularSamsung SPH-M450 Samsung M360 Samsung M370J Samsung PLS-M330 Samsung M260 Samsung SPH-M330 Samsung M36 Samsung Mant Boost Mobile Phone,"60:D0:A9 – Samsung Electronics Co., Ltd. FC:A1:3E – Samsung Electronics B8:C6:8E – Samsung Electronics Co.,Ltd 8C:77:12 – Samsung Electronics Co.,Ltd FC:C7:34 – Samsung Electronics Co.,Ltd 60:D0:A9 – Samsung Electronics Co.,Ltd 78:47:1D – Samsung Electronics Co.,Ltd 34:C3:AC – Samsung Electronics D0:DF:C7 – Samsung Electronics Co.,Ltd"
20,0x580204,010110000000001000000100,"22,20,19 | 9 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularSGH-A707 Samsung SGH-T37 Huawei M615 Huawei HW-M750 Samsung SGH-T159 AT&T Z221 AT&T F160 AT&T Z331 Samsung Gravity TXT SGH-T379 Sonim XP3400 ARMOR HUAWEI M228,"00:18:AF – Samsung Electronics Co., Ltd. 74:45:8A – Samsung Electronics Co.,Ltd 20:F3:A3 – Huawei Technologies Co., Ltd 00:25:68 – Shenzhen Huawei Communication Technologies Co., Ltd 04:FE:31 – Samsung Electronics Co.,Ltd 68:1A:B2 – zte corporation 98:F5:37 – zte corporation C8:7B:5B – zte corporation CC:F9:E8 – Samsung Electronics Co.,Ltd 18:3B:D2 – BYD Precision Manufacture Company Ltd. 4C:54:99 – Huawei Device Co., Ltd"
21,0x58020c,010110000000001000001100,"23,20,17 | 8 | noneMajor Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2,3: Smart Phone",Smart PhoneHUAWEI M860 Huawei H866C ZTE Warp Sequent N861 Huawei AT&T Fusion U8652 Huawei Mercury M886 T-Mobile Prism Samsung Galaxy Note II SGH-I317 Huawei U8651S Summit Cricket Asscend 2 M865 Samsung Blaze 4G SGH-T769 Samsung Galaxy Note II SGH-T889 Samsung Infuse 4G SGH-I997 Samsung Galaxy S III SGH-T999 Samsung Galaxy Note 10.1 GT-N8013 Motorola Atrix 2 MB865 SAMSUNG SGH-I747 LG HBS-700,"54:A5:1B – Huawei Device Co., Ltd 88:53:D4 – Huawei Technologies Co., Ltd 8C:E0:81 – zte corporation 10:C6:1F – Huawei Technologies Co., Ltd C8:D1:5E – Huawei Technologies Co., Ltd C8:D1:5E – Huawei Technologies Co., Ltd 14:89:FD – Samsung Electronics 78:F5:FD – Huawei Technologies Co., Ltd C8:D1:5E – Huawei Technologies Co., Ltd BC:20:A4 – Samsung Electronics 08:D4:2B – Samsung Electronics 94:63:D1 – Samsung Electronics Co.,Ltd 1C:66:AA – Samsung Electronics B4:62:93 – Samsung Electronics Co.,Ltd 5C:6B:32 – Texas Instruments 04:FE:31 – Samsung Electronics Co.,Ltd F4:C7:14 – Huawei Device Co., Ltd"
